US_name,RAM_name,stockid,FMSY_RAM,FMSY_US,Fmsy
Acadian redfish - Gulf of Maine / Georges Bank,Acadian redfish Gulf of Maine / Georges Bank,ACADREDGOMGB,0.04,0.04,0.04
American plaice - Gulf of Maine / Georges Bank,American Plaice NAFO-5YZ,AMPL5YZ,0.196,0.21,0.203
Atlantic cod - Gulf of Maine,NA,NA,NA,0.22,0.22
Atlantic cod - Georges Bank,Atlantic cod Georges Bank,CODGB,0.18,0.21,0.195
Atlantic herring - Northwestern Atlantic Coast,Atlantic herring Northwestern Atlantic Coast,HERRNWATLC,0.24,0.36,0.3
Atlantic mackerel - Gulf of Maine / Cape Hatteras,NA,NA,NA,0.24,0.24
Atlantic surfclam - Mid-Atlantic Coast,Atlantic surfclam Mid-Atlantic Coast,SURFMATLC,0.15,0.12,0.135
Black sea bass - Mid-Atlantic Coast,NA,NA,NA,0.43,0.43
Bluefish - Atlantic Coast,Bluefish Atlantic Coast,BLUEFISHATLC,0.17,0.19,0.18
Butterfish - Gulf of Maine / Cape Hatteras,Atlantic butterfish Gulf of Maine / Cape Hatteras,BUTTERGOMCHATT,0.81,0.83,0.82
Haddock - Georges Bank,Haddock Georges Bank,HADGB,0.39,0.35,0.37
Haddock - Gulf of Maine,Haddock NAFO-5Y,HAD5Y,0.47,0.41,0.44
Goosefish - Gulf of Maine / Northern Georges Bank,NA,NA,NA,0.39,0.39
Goosefish - Southern Georges Bank / Mid-Atlantic,NA,NA,NA,0.41,0.41
Pollock - Gulf of Maine / Georges Bank,NA,NA,NA,0.27,0.27
Scup - Atlantic Coast,Scup Atlantic Coast,SCUPNWATLC,0.22,0.2,0.21
Sea scallop - Northwestern Atlantic Coast,Sea scallop Georges Bank and Mid-Atlantic Bight,SCALL5ZMAB,0.48,0.52,0.5
Spiny dogfish - Atlantic Coast,Spiny dogfish Atlantic Coast,SDOGATLC,0.24,0.26,0.25
Summer flounder - Mid-Atlantic Coast,Summer flounder Mid-Atlantic Coast,SFLOUNMATLC,0.31,0.32,0.315
Tilefish - Mid-Atlantic Coast,Tilefish Mid-Atlantic Coast,TILEMATLC,0.37,0.28,0.325
White hake - Gulf of Maine / Georges Bank,White hake Georges Bank / Gulf of Maine,WHAKEGBGOM,0.19,0.24,0.215
Winter flounder - Gulf of Maine,NA,NA,NA,0.43,0.43
Winter flounder - Georges Bank,Winter Flounder NAFO-5Z,WINFLOUN5Z,0.54,0.47,0.505
Winter flounder - Southern New England / Mid-Atlantic,Winter Flounder Southern New England-Mid Atlantic,WINFLOUNSNEMATL,0.33,0.3,0.315
Witch flounder - Northwestern Atlantic Coast,Witch Flounder NAFO-5Y,WITFLOUN5Y,0.28,0.24,0.26
Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder Cape Cod / Gulf of Maine,YELLCCODGOM,0.28,0.26,0.27
Yellowtail flounder - Southern New England / Mid-Atlantic,Yellowtail Flounder Southern New England-Mid Atlantic,YELLSNEMATL,0.35,0.31,0.33
Yellowtail flounder - Georges Bank ,NA,NA,NA,0.25,0.25
