US_name,RAM_name,stockid,FMSY_RAM,FMSY_US,Fmsy
Alaska plaice - Bering Sea / Aleutian Islands,Alaska plaice Bering Sea and Aleutian Islands,ALPLAICBSAI,0.21,0.16,0.19
Alaska skate - Bering Sea / Aleutian Islands,NA,NA,NA,0.09,0.09
Arrowtooth flounder - Bering Sea / Aleutian Islands,Arrowtooth flounder Bering Sea and Aleutian Islands,ARFLOUNDBSAI,0.22,0.17,0.20
Arrowtooth flounder - Gulf of Alaska,Arrowtooth flounder Gulf of Alaska,ARFLOUNDGA,0.17,0.22,0.20
Atka mackerel - Bering Sea / Aleutian Islands,Atka mackerel Bering Sea and Aleutian Islands,ATKABSAI,0.35,0.52,0.44
Dover sole - Gulf of Alaska,Dover sole Gulf of Alaska,DSOLEGA,0.12,0.11,0.12
Dusky rockfish - Gulf of Alaska,Dusky rockfish Gulf of Alaska,DUSROCKGA,0.09,0.12,0.11
Flathead sole - Bering Sea / Aleutian Islands,Flathead sole Bering Sea and Aleutian Islands,FLSOLEBSAI,0.35,0.44,0.40
Flathead sole - Gulf of Alaska,Flathead sole Gulf of Alaska,FLSOLEGA,0.57,0.44,0.51
Greenland halibut - Bering Sea / Aleutian Islands,Greenland turbot Bering Sea and Aleutian Islands,GHALBSAI,0.12,0.38,0.25
Northern rock sole - Bering Sea / Aleutian Islands,Northern rock sole Eastern Bering Sea and Aleutian Islands,NRSOLEEBSAI,0.17,0.18,0.18
Northern rockfish - Bering Sea / Aleutian Islands,Northern rockfish Bering Sea and Aleutian Islands,NROCKBSAI,0.05,0.08,0.07
Northern rockfish - Western / Central Gulf of Alaska,Northern rockfish Gulf of Alaska,NROCKGA,0.07,0.07,0.07
Pacific cod - Gulf of Alaska,Pacific cod Gulf of Alaska,PCODGA,0.24,0.66,0.45
Pacific ocean perch - Bering Sea / Aleutian Islands,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,PERCHEBSAI,0.12,0.09,0.11
Pacific ocean perch - Gulf of Alaska,Pacific ocean perch Gulf of Alaska,POPERCHGA,0.12,0.12,0.12
Rex sole - Gulf of Alaska,Rex sole Gulf of Alaska,REXSOLEGA,0.17,NA,0.17
Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,SABLEFEBSAIGA,0.1,0.11,0.11
Walleye pollock - Aleutian Islands,Walleye pollock Aleutian Islands,WPOLLAI,0.23,0.31,0.27
Walleye pollock - Eastern Bering Sea,Walleye pollock Eastern Bering Sea,WPOLLEBS,0.59,0.54,0.57
Walleye pollock - Western / Central / West Yakutat Gulf of Alaska,Walleye pollock Gulf of Alaska,WPOLLGA,0.29,0.3,0.30
Yellowfin sole - Bering Sea / Aleutian Islands,Yellowfin sole Bering Sea and Aleutian Islands,YSOLEBSAI,0.12,0.15,0.14
